Z,A,BE (keV),error prefix (keV),O,N,BE/A (keV)
1,2,2224.566,0,1,1,1112.283
1,3,8481.795,0,1,2,2827.265
1,4,6881.796,100,1,3,1720.449
1,5,6681.795,89.445,1,4,1336.359
1,6,5769.834,254.124,1,5,961.639
1,7,6580,-1001,1,6,940
2,3,7718.04,0,1,1,2572.68
2,4,28295.66,0,1,2,7073.915
2,5,27560.66,20,1,3,5512.132
2,6,29271.113,0.054,1,4,4878.519
2,7,28861.4,7.56,1,5,4123.057
2,8,31396.16,0.088,1,6,3924.52
2,9,30141.334,46.818,1,7,3349.037
2,10,29951.34,92.85,1,8,2995.134
3,4,4615.04,212.132,1,1,1153.76
3,5,26330.66,50,1,2,5266.132
3,6,31993.986,0,1,3,5332.331
3,7,39245.074,0.007,1,4,5606.439
3,8,41277.695,0.048,1,5,5159.712
3,9,45339.914,0.189,1,6,5037.768
3,10,45313.512,12.72,1,7,4531.351
3,11,45709.188,0.616,1,8,4155.381
3,12,45499.203,30.012,1,9,3791.6
3,13,45599.188,70.005,1,10,3507.63
3,203,-2001,0,1,200,-9.857
4,5,90,-2005,1,1,18
4,6,26923.482,5.448,1,2,4487.247
4,7,37600.836,0.07,1,3,5371.548
4,8,56499.48,0.032,1,4,7062.435
4,9,58164.012,0.081,1,5,6462.668
4,10,64976.297,0.08,1,6,6497.63
4,11,65477.941,0.242,1,7,5952.54
4,12,68648.664,1.908,1,8,5720.722
4,13,68138.656,10.179,1,9,5241.435
4,14,69914.555,132.244,1,10,4993.897
4,15,68114.555,165.795,1,11,4540.97
4,16,68564.563,165.792,1,12,4285.285
5,6,-2802,-2004,1,1,-467
5,7,24910.936,25.151,1,2,3558.705
5,8,37737.238,1,1,3,4717.155
5,9,56313.629,0.9,1,4,6257.07
5,10,64750.828,0.02,1,5,6475.083
5,11,76205.055,0.011,1,6,6927.732
5,12,79574.68,1.32,1,7,6631.223
5,13,84453.445,1.001,1,8,6496.419
5,14,85423.016,21.21,1,9,6101.644
5,15,88199.773,21.03,1,10,5879.985
5,16,88116.828,24.576,1,11,5507.302
5,17,89584.336,204.102,1,12,5269.667
5,18,89579.336,204.156,1,13,4976.63
5,19,89673.039,525.369,1,14,4719.634
5,20,89060,-800,1,15,4453
5,21,88263,-903,1,16,4203
6,8,24812.191,18.24,1,2,3101.524
6,9,39036.805,2.133,1,3,4337.423
6,10,60320.422,0.07,1,4,6032.042
6,11,73441.016,0.055,1,5,6676.456
6,12,92161.727,0,1,6,7680.144
6,13,97108.039,0,1,7,7469.849
6,14,105284.461,0,1,8,7520.319
6,15,106502.531,0.795,1,9,7100.169
6,16,110752.867,3.584,1,10,6922.054
6,17,111486.406,17.357,1,11,6558.024
6,18,115670.359,30.006,1,12,6426.131
6,19,116247.188,98.382,1,13,6118.273
6,20,119228.703,230.62,1,14,5961.435
6,21,119154,-588,1,15,5674
6,22,119263.695,231.484,1,16,5421.077
6,23,116771,-989,1,17,5077
7,10,36436.723,400,1,3,3643.672
7,11,59004.504,46.156,1,4,5364.046
7,12,74041.305,0.996,1,5,6170.109
7,13,94105.219,0.273,1,6,7238.863
7,14,104658.594,0,1,7,7475.614
7,15,115491.898,0,1,8,7699.46
7,16,117980.734,2.304,1,9,7373.796
7,17,123865.891,14.994,1,10,7286.229
7,18,126694.117,18.576,1,11,7038.562
7,19,132022.313,16.397,1,12,6948.543
7,20,134183.422,78.9,1,13,6709.171
7,21,138789.313,134.043,1,14,6609.015
7,22,140327.75,207.79,1,15,6378.534
7,23,143443.438,420.578,1,16,6236.671
7,24,141288,-408,1,17,5887
7,25,140325,-500,1,18,5613
8,12,58682.426,24,1,4,4890.202
8,13,75552.922,9.529,1,5,5811.763
8,14,98731.891,0.028,1,6,7052.278
8,15,111955.375,0.495,1,7,7463.692
8,16,127619.297,0,1,8,7976.206
8,17,131762.375,0,1,9,7750.728
8,18,139807.75,0,1,10,7767.097
8,19,143763.406,2.641,1,11,7566.495
8,20,151371.391,0.88,1,12,7568.569
8,21,155176.859,11.991,1,13,7389.374
8,22,162027.156,56.914,1,14,7364.871
8,23,164760.156,121.716,1,15,7163.485
8,24,168952.438,164.88,1,16,7039.685
8,25,168195.125,165.075,1,17,6727.805
8,26,168934.422,164.944,1,18,6497.478
8,27,166995,-513,1,19,6185
8,28,167664,-700,1,20,5988
9,14,73992.914,41.118,1,5,5285.208
9,15,97461.883,13.995,1,6,6497.459
9,16,111419.695,8.32,1,7,6963.731
9,17,128219.578,0.255,1,8,7542.328
9,18,137369.484,0.468,1,9,7631.638
9,19,147801.344,0,1,10,7779.018
9,20,154402.672,0.04,1,11,7720.134
9,21,162504.156,1.806,1,12,7738.293
9,22,167734.484,12.408,1,13,7624.295
9,23,175313.922,33.327,1,14,7622.344
9,24,179125.969,97.68,1,15,7463.582
9,25,183407.656,96.45,1,16,7336.306
9,26,184164.25,111.202,1,17,7083.24
9,27,185434.172,389.826,1,18,6867.932
9,28,185214.172,393.036,1,19,6614.792
9,29,186876.891,525.364,1,20,6444.031
9,30,186990,-600,1,21,6233
9,31,187023,-558,1,22,6033
10,15,73030.922,66.69,1,5,4868.728
10,16,97330.828,20.48,1,6,6083.177
10,17,112888.484,0.357,1,7,6640.499
10,18,132142.625,0.36,1,8,7341.257
10,19,143779.516,0.152,1,9,7567.343
10,20,160644.813,0,1,10,8032.241
10,21,167405.969,0.042,1,11,7971.713
10,22,177770.219,0.022,1,12,8080.464
10,23,182970.891,0.115,1,13,7955.256
10,24,191839.813,0.504,1,14,7993.326
10,25,195994.969,29.05,1,15,7839.799
10,26,201549.656,18.434,1,16,7751.91
10,27,203051.188,90.774,1,17,7520.415
10,28,206873.688,126.056,1,18,7388.346
10,29,207844.938,149.495,1,19,7167.067
10,30,211035.922,253.26,1,20,7034.531
10,31,211205.781,266.197,1,21,6813.09
10,32,213472,-512,1,22,6671
10,33,212520,-594,1,23,6440
10,34,213758,-510,1,24,6287
11,17,93433.359,1001.351,1,6,5496.08
11,18,111639.906,93.888,1,7,6202.217
11,19,131819.813,10.526,1,8,6937.885
11,20,145969.922,1.12,1,9,7298.496
11,21,163076.484,0.105,1,10,7765.547
11,22,174144.672,0.176,1,11,7915.667
11,23,186564.344,0,1,12,8111.493
11,24,193523.703,0.024,1,13,8063.488
11,25,202534.922,1.2,1,14,8101.397
11,26,208109.234,3.51,1,15,8004.201
11,27,214837.531,3.726,1,16,7956.946
11,28,218379.391,10.248,1,17,7799.264
11,29,222782.375,7.337,1,18,7682.151
11,30,225059.031,4.74,1,19,7501.968
11,31,229358.984,13.981,1,20,7398.677
